session_id,participant_id,choices,crra_lower,crra_upper,crra_midpoint,risk_type,flag
1,P01,BABBBBBABB,,,,unclassified_non_monotone,non-monotone raw choices; switch-based CRRA unreliable
1,P02,AAAABBBBBB,-0.14263227593575023,0.1463633300718113,0.0018655270680305314,approximately_neutral,
1,P03,AAAAABBBBB,0.1463633300718113,0.4114561035340115,0.27890971680291143,risk_averse,
1,P04,AAABBBBBBB,-0.48657471555639675,-0.14263227593575023,-0.3146034957460735,risk_seeking,
1,P05,AAAAABBBBB,0.1463633300718113,0.4114561035340115,0.27890971680291143,risk_averse,
1,P06,AAABBBBBBB,-0.48657471555639675,-0.14263227593575023,-0.3146034957460735,risk_seeking,
1,P07,AAAAAAABBB,0.6761800185490234,0.9705808962527485,0.823380457400886,risk_averse,
1,P08,AAABBBBBBB,-0.48657471555639675,-0.14263227593575023,-0.3146034957460735,risk_seeking,
1,P09,AAABAAABBB,,,,unclassified_non_monotone,non-monotone raw choices; switch-based CRRA unreliable
2,P01,AABBBBAABB,,,,unclassified_non_monotone,non-monotone raw choices; switch-based CRRA unreliable
2,P02,AAAABBBBBB,-0.14263227593575023,0.1463633300718113,0.0018655270680305314,approximately_neutral,
2,P03,AABBBBBBBB,-0.9468370549312739,-0.48657471555639675,-0.7167058852438353,risk_seeking,
2,P04,AAAAAAAABB,0.9705808962527485,1.368391202558156,1.1694860494054522,risk_averse,
2,P05,AAAAABBBBB,0.1463633300718113,0.4114561035340115,0.27890971680291143,risk_averse,
2,P06,AAAAAAAAAA,1.368391202558156,inf,,risk_averse,all A; right-censored and violates row-10 dominance
2,P07,AAABBBBBBB,-0.48657471555639675,-0.14263227593575023,-0.3146034957460735,risk_seeking,
2,P08,AAAAABBBBB,0.1463633300718113,0.4114561035340115,0.27890971680291143,risk_averse,
2,P09,AAAAAABBBB,0.4114561035340115,0.6761800185490234,0.5438180610415175,risk_averse,
