market_id,round_number,abs_deviation
1,1,0.48406984895845573
2,1,0.5276490667020026
2,2,0.4571198432416542
2,3,0.5340727706074054
2,4,0.5340727706074054
2,5,0.5326216800578645
3,1,0.1345433944962635
3,2,0.24980211807350317
3,3,0.26690591270445174
3,4,0.034444255124071343
3,5,0.14454754949644677
4,1,0.013885317746004877
4,2,0.013885317746004877
4,3,0.013885317746004877
4,4,0.013885317746004877
4,5,0.013885317746004877
5,1,0.03167564837142057
5,2,0.04150112522512134
5,3,0.6841610872091767
5,4,0.12820353662308884
5,5,0.03947068847533201
