market_id,round_number,abs_deviation
1,1,0.12225076494548681
2,1,0.47057946873801737
2,2,0.47057946873801737
2,3,0.5009308374287083
2,4,0.378845947667265
2,5,0.1638853177460049
3,1,0.25804956801379064
3,2,0.1323760699204013
3,3,0.20816595491126888
3,4,0.11085155693312154
3,5,0.14258161098715505
4,1,0.006943997948260672
4,2,0.006943997948260672
4,3,0.006943997948260672
4,4,0.006943997948260672
4,5,0.006943997948260672
5,1,0.031861300299595045
5,2,0.030875873102247972
5,3,0.031861300299595045
5,4,0.028979608621676756
5,5,0.031861300299595045
