market_id,market_number,round_number,price_error
1,0,1,0.027749235054513155
2,1,1,0.013885317746004877
2,1,2,0.013885317746004877
2,1,3,0.013885317746004877
2,1,4,0.013885317746004877
2,1,5,0.013885317746004877
3,2,1,0.013515155058325012
3,2,2,0.11215834303506433
3,2,3,0.1081659549112689
3,2,4,0.1336828560223441
3,2,5,0.10195280196831058
4,3,1,0.24305600205173933
4,3,2,0.24305600205173933
4,3,3,0.24305600205173933
4,3,4,0.24305600205173933
4,3,5,0.24305600205173933
5,4,1,0.6126731126558705
5,4,2,0.6136585398532176
5,4,3,0.6126731126558705
5,4,4,0.6155548043337888
5,4,5,0.6126731126558705
