market_id,market_number,round_number,price_error
1,0,1,0.020821285372742915
2,1,1,0.020821285372742915
2,1,2,0.020821285372742915
2,1,3,0.020821285372742915
2,1,4,0.020821285372742915
2,1,5,0.020821285372742915
3,2,1,0.007475579262828269
3,2,2,0.06479902333468435
3,2,3,0.15398480667348324
3,2,4,0.19297529857890694
3,2,5,0.052940716034592605
4,3,1,0.23611468225399512
4,3,2,0.23611468225399512
4,3,3,0.23611468225399512
4,3,4,0.23611468225399512
4,3,5,0.23611468225399512
5,4,1,0.6126731126558705
5,4,2,0.6095604351819968
5,4,3,0.029178699175392953
5,4,4,0.5392726820276318
5,4,5,0.5850308308713359
